42.72,45.63
42.97,44.88
42.43,44.82
40.28,44.65
43.44,44.73
41.32,45.56
42.91,45.04
41.78,44.65
42.55,45.43
42.68,44.66
41.89,45.12
43.58,44.27
41.52,45.32
42.33,44.56
41.7,44.59
45.54,45.57
45.49,45.28
44.63,45.63
46.57,45.81
46.66,45.66
45.34,46.48
46.73,45.54
44.99,45.55
46.66,46.18
45.26,46.11
45.27,47.02
45.19,46.18
45.94,46.24
44.7,46.73
47.16,46.56
48.84,45.96
48.4,46
48.69,45.96
48.25,45.96
47.2,46
47.4,46.21
49.09,46.48
47.56,46.36
47.7,46.15
49.48,46.41
48.67,46.42
48.35,46.24
47.4,46.15
47.14,47.2
47.68,46.65
50.79,46
50.67,46
50.19,46.21
52.2,46.51
49.15,46.34
51.33,46.3
50.57,46.6
49.12,46.57
49.76,46.36
50.29,46.78
49.02,47.38
49.78,47.38
48.54,47.08
48.69,46.39
49.14,46.63
50.12,46
52.37,46.15
50.54,46.24
52.09,46.21
50.76,46.21
52.17,46.39
50.63,47.17
50.08,46.21
49.77,46.66
50.02,46.81
50.22,46.84
52.26,47.44
50.71,47.29
50.85,47.29
51.66,46.99
42.89,46
42.49,46.36
42.48,46.54
42.58,46.21
39.91,46.3
42.77,46.63
43.96,46.06
39.96,47.17
42.74,47.89
41.92,47.89
40.72,46.96
36.63,47.11
41.21,47.32
44.77,47.5
42.94,48.79
42.11,46
36,46.18
40.1,46.15
41.99,46.45
38.5,47.11
41.27,46.66
39.01,46.99
38.14,46.9
37.45,47.44
43.8,46.6
41.15,47.2
40.34,47.05
40.1,47.38
41.81,48.01
40.03,48.79
