Node,Stack Based Weight,Information Gain,Fitness Value
1,8,0,8
2,8,2,10
3,6,1,7
4,5,2,7
5,7,6,13
6,5,2,7
7,6,2,8
8,3,2,5
9,3,4,7
10,1,1,2
11,0,0,0
