N,IT,Average GrassHopper Fitness,Average Genetic Fitness,Average Cheetah Fitness
4,2,98.368,96.722,101.051
4,3,98.717,99.711,101.462
4,4,101.472,101.387,102.024
4,5,103.824,103.756,104.099
4,6,105.2,105.123,103.588
5,2,101.314,97.944,103.697
5,3,101.679,100.355,104.072
5,4,102.409,102.696,105.728
5,5,104.912,104.892,106.669
5,6,106.499,107.076,106.94
6,2,102.791,98.163,106.003
6,3,102.684,101.527,107.632
6,4,104.663,104.431,107.963
6,5,106.94,106.123,108.426
6,6,109.255,108.774,109.478
